pelicula,puntuacion,cantidad de votos
Star Wars: Episode IV - A New Hope,"7,9",137184
Star Wars: Episode V - The Empire Strikes Back,"8,1",136665
Star Wars: Episode VI - Return of the Jedi,"7,9",122877
Star Wars: Episode I - The Phantom Menace,"6,2",103888
Star Wars: Episode II - Attack of the Clones,"6,3",107369
Star Wars: Episode III - Revenge of the Sith,"7,1",103276
Star Wars: Episode VII - The Force Awakens,"6,7",64579
Star Wars: Episode VIII - The Last Jedi,"6,1",42717
Star Wars: Episode IX - The Rise of Skywalker,"5,6",31263
Solo: A Star Wars Story,6,24623
Rogue One: A Star Wars Story,"6,9",46951
Jurassic Park,"7,1",147830
The Lost World: Jurassic Park,"5,7",50840
Jurassic Park III,"4,8",33791
Jurassic World,"5,8",54861
Jurassic World: Fallen Kingdom,"5,6",29760
Jurassic World Dominion,"4,9",13350
Harry Potter and the Sorcerer's Stone,"6,8",85073
Harry Potter and the Chamber of Secrets,"6,5",74933
Harry Potter and the Prisoner of Azkaban,"6,9",83079
Harry Potter and the Goblet of Fire,"6,6",77457
Harry Potter and the Order of the Phoenix,"6,4",73909
Harry Potter and the Half-Blood Prince,"6,4",57414
Harry Potter and the Deathly Hallows: Part 1,"6,6",67954
Harry Potter and the Deathly Hallows: Part 2,7,67885
The Lord of the Rings: The Fellowship of the Ring,8,192446
The Lord of the Rings: The Two Towers,8,170738
The Lord of the Rings: The Return of the King,"8,2",185616
The Hobbit: An Unexpected Journey,7,84876
The Hobbit: The Desolation of Smaug,"6,7",64321
The Hobbit: The Battle of the Five Armies,"6,3",48362
Iron Man,"6,6",96939
The Incredible Hulk,"5,7",49743
Iron Man 2,"5,9",60179
Thor,"5,6",62116
Captain America: The First Avenger,"5,8",57600
The Avengers,"6,9",81670
Iron Man 3,"6,1",51955
Thor: The Dark World,"5,9",40538
Captain America: The Winter Soldier,"6,6",42610
Guardians of the Galaxy,"6,9",62081
Avengers: Age of Ultron,"6,3",46947
Ant-Man,"6,2",38147
Captain America: Civil War,"6,8",41066
Doctor Strange,"6,5",39769
Guardians of the Galaxy Vol. 2,"6,7",39025
Spider-Man: Homecoming,"6,3",34077
Thor: Ragnarok,"6,4",32051
Black Panther,"5,9",32227
Avengers: Infinity War,"7,5",44433
Ant-Man and the Wasp,"5,9",22368
Captain Marvel,"5,9",26838
Avengers: Endgame,"7,3",39324
Spider-Man: Far from Home,"6,2",27867
Black Widow,"5,6",18703
Shang-Chi and the Legend of the Ten Rings,"6,2",16374
Eternals,"5,6",16891
Spider-Man: No Way Home,7,28459
Doctor Strange in the Multiverse of Madness,"6,4",20930
Thor: Love and Thunder,"5,3",16472
Indiana Jones en busca del arca perdida,"7,8",134963
Indiana Jones y el templo maldito,"7,4",112076
Indiana Jones y la ̼ltima cruzada,"7,8",120554
Indiana Jones y el reino de la calavera de cristal,"5,4",75455
Indiana Jones y el dial del destino,"6,4",13083